Order_ID,Order_Date,Product_ID,Sales_Rep_ID,Region_ID,Quantity_Sold,Unit_Price,Total_Sales,Profit,Return_Flag,Time,Year,Month,Day_of_Week,Hour
1001,2024-09-05,202,305,101,2,523,1047,199,FALSE,23:47,2024,9,Thursday,23
1002,2023-12-13,204,301,105,1,49,49,10,FALSE,16:50,2023,12,Wednesday,16
1003,2023-09-17,201,303,101,3,254,761,190,FALSE,09:00,2023,9,Sunday,9
1004,2022-12-24,204,301,105,2,381,761,228,FALSE,06:50,2022,12,Saturday,6
1005,2023-08-05,202,303,102,2,190,381,57,FALSE,10:42,2023,8,Saturday,10
1006,2023-12-30,205,303,103,5,378,1890,321,FALSE,16:13,2023,12,Saturday,16
1007,2024-03-22,202,305,101,9,554,4982,947,FALSE,01:32,2024,3,Friday,1
1008,2024-06-17,203,301,104,9,165,1486,312,TRUE,14:48,2024,6,Monday,14
1009,2023-01-16,205,301,104,4,609,2435,609,FALSE,05:40,2023,1,Monday,5
1010,2024-10-08,201,304,103,6,216,1297,389,FALSE,13:45,2024,10,Tuesday,13
1011,2024-02-20,203,301,104,10,446,4461,669,FALSE,21:27,2024,2,Tuesday,21
1012,2023-04-01,201,303,102,10,484,4837,822,FALSE,07:19,2023,4,Saturday,7
1013,2023-05-03,202,301,101,4,283,1134,215,FALSE,22:36,2023,5,Wednesday,22
1014,2022-11-29,204,303,103,8,171,1370,288,TRUE,02:24,2022,11,Tuesday,2
1015,2024-08-09,204,301,103,9,426,3835,959,FALSE,06:41,2024,8,Friday,6
1016,2023-09-24,202,302,103,8,556,4444,1333,FALSE,00:54,2023,9,Sunday,0
1017,2024-01-25,202,301,105,7,115,804,121,FALSE,13:12,2024,1,Thursday,13
1018,2023-03-06,202,301,104,7,613,4293,730,TRUE,12:19,2023,3,Monday,12
1019,2023-06-04,201,303,104,10,458,4575,869,FALSE,00:40,2023,6,Sunday,0
1020,2023-03-25,202,303,102,10,496,4964,1042,TRUE,23:01,2023,3,Saturday,23
1021,2024-08-31,201,303,104,7,597,4176,1044,TRUE,05:57,2024,8,Saturday,5
1022,2023-08-23,201,301,104,2,568,1137,341,TRUE,05:55,2023,8,Wednesday,5
1023,2024-06-24,203,305,104,4,512,2048,307,FALSE,10:59,2024,6,Monday,10
1024,2024-07-25,201,303,105,9,548,4931,838,FALSE,13:23,2024,7,Thursday,13
1025,2024-03-16,205,305,105,10,158,1575,299,TRUE,08:45,2024,3,Saturday,8
1026,2023-09-09,203,304,103,9,484,4360,916,FALSE,14:05,2023,9,Saturday,14
1027,2022-12-01,204,303,103,5,166,828,207,TRUE,21:34,2022,12,Thursday,21
1028,2024-09-26,202,305,103,8,134,1071,321,FALSE,06:31,2024,9,Thursday,6
1029,2023-09-18,202,302,101,2,306,612,92,FALSE,10:40,2023,9,Monday,10
1030,2022-11-28,201,302,101,7,509,3566,606,FALSE,16:56,2022,11,Monday,16
1031,2023-04-05,203,303,105,5,408,2042,388,FALSE,22:10,2023,4,Wednesday,22
1032,2024-01-26,203,303,101,1,480,480,101,FALSE,12:50,2024,1,Friday,12
1033,2023-07-05,203,305,105,10,565,5654,1413,FALSE,21:12,2023,7,Wednesday,21
1034,2023-07-12,205,303,101,10,102,1022,307,FALSE,16:28,2023,7,Wednesday,16
1035,2024-09-13,201,305,105,5,63,314,47,FALSE,21:45,2024,9,Friday,21
1036,2022-11-17,201,304,103,5,209,1046,178,TRUE,09:00,2022,11,Thursday,9
1037,2023-02-01,205,304,102,4,578,2312,439,FALSE,12:06,2023,2,Wednesday,12
1038,2023-01-14,202,302,103,7,368,2573,540,FALSE,13:24,2023,1,Saturday,13
1039,2023-12-26,205,301,103,8,605,4838,1209,FALSE,10:35,2023,12,Tuesday,10
1040,2024-05-15,201,305,103,5,532,2658,797,TRUE,21:56,2024,5,Wednesday,21
1041,2024-09-29,204,303,103,5,121,606,91,FALSE,05:17,2024,9,Sunday,5
1042,2023-01-18,203,301,102,6,601,3607,613,FALSE,15:55,2023,1,Wednesday,15
1043,2023-12-02,201,303,103,4,214,855,163,TRUE,21:46,2023,12,Saturday,21
1044,2023-06-29,205,303,105,8,510,4083,858,FALSE,14:12,2023,6,Thursday,14
1045,2024-02-20,202,303,103,7,62,431,108,FALSE,13:10,2024,2,Tuesday,13
1046,2023-01-19,202,302,102,7,197,1379,414,FALSE,04:27,2023,1,Thursday,4
1047,2024-03-16,201,305,103,3,47,141,21,FALSE,15:37,2024,3,Saturday,15
1048,2024-01-08,204,304,105,1,130,130,22,FALSE,09:07,2024,1,Monday,9
1049,2023-11-01,203,305,104,4,519,2077,395,FALSE,14:07,2023,11,Wednesday,14
1050,2022-11-16,204,301,102,9,530,4774,1002,FALSE,07:58,2022,11,Wednesday,7
1051,2023-06-28,202,301,103,3,606,1819,455,FALSE,23:20,2023,6,Wednesday,23
1052,2023-10-24,203,301,104,2,90,180,54,FALSE,04:26,2023,10,Tuesday,4
1053,2023-11-03,202,301,101,3,260,780,117,FALSE,05:14,2023,11,Friday,5
1054,2024-07-30,201,305,105,1,443,443,75,FALSE,20:06,2024,7,Tuesday,20
1055,2023-06-15,204,302,105,4,459,1835,349,FALSE,12:27,2023,6,Thursday,12
1056,2023-08-13,203,303,101,8,191,1525,320,TRUE,14:01,2023,8,Sunday,14
1057,2024-10-06,201,303,105,2,498,996,249,FALSE,11:35,2024,10,Sunday,11
1058,2023-03-11,204,305,102,7,234,1638,491,FALSE,06:49,2023,3,Saturday,6
1059,2024-10-25,202,304,102,4,484,1937,291,FALSE,19:14,2024,10,Friday,19
1060,2024-03-07,202,302,103,3,501,1502,255,FALSE,18:51,2024,3,Thursday,18
1061,2023-04-19,204,303,101,9,332,2988,568,FALSE,10:35,2023,4,Wednesday,10
1062,2023-06-20,203,304,101,10,268,2684,564,FALSE,03:17,2023,6,Tuesday,3
1063,2023-07-10,203,301,105,8,60,477,119,TRUE,12:39,2023,7,Monday,12
1064,2022-11-09,202,303,101,4,177,710,213,FALSE,11:22,2022,11,Wednesday,11
1065,2024-05-25,204,303,102,3,90,270,40,FALSE,22:59,2024,5,Saturday,22
1066,2024-01-25,205,304,102,9,553,4979,846,FALSE,01:46,2024,1,Thursday,1
1067,2023-02-18,204,302,105,9,476,4283,814,FALSE,08:30,2023,2,Saturday,8
1068,2024-01-02,205,305,103,7,303,2124,446,FALSE,02:43,2024,1,Tuesday,2
1069,2023-12-15,204,302,103,2,556,1113,278,FALSE,00:30,2023,12,Friday,0
1070,2024-06-04,205,302,101,8,446,3571,1071,FALSE,18:34,2024,6,Tuesday,18
1071,2024-09-26,204,304,101,9,288,2596,389,FALSE,14:32,2024,9,Thursday,14
1072,2024-05-13,205,303,104,6,90,543,92,TRUE,07:59,2024,5,Monday,7
1073,2023-02-14,201,304,105,1,116,116,22,FALSE,05:49,2023,2,Tuesday,5
1074,2024-08-27,201,303,101,1,305,305,64,FALSE,15:06,2024,8,Tuesday,15
1075,2023-09-21,202,303,102,10,222,2220,555,FALSE,20:32,2023,9,Thursday,20
1076,2023-11-10,202,302,105,10,234,2344,703,FALSE,17:59,2023,11,Friday,17
1077,2022-12-19,202,302,101,4,487,1948,292,FALSE,00:39,2022,12,Monday,0
1078,2024-09-20,203,301,101,2,651,1302,221,FALSE,21:54,2024,9,Friday,21
1079,2023-10-13,203,305,101,3,182,546,104,TRUE,14:15,2023,10,Friday,14
1080,2024-09-06,205,304,105,5,510,2550,535,FALSE,09:26,2024,9,Friday,9
1081,2024-04-02,205,304,104,8,535,4282,1071,FALSE,07:17,2024,4,Tuesday,7
1082,2023-09-21,202,304,105,4,157,626,188,FALSE,16:04,2023,9,Thursday,16
1083,2024-06-24,201,304,101,8,315,2521,378,FALSE,23:10,2024,6,Monday,23
1084,2023-04-21,204,301,102,4,633,2532,430,FALSE,16:23,2023,4,Friday,16
1085,2024-10-03,201,301,104,2,71,142,27,FALSE,00:59,2024,10,Thursday,0
1086,2024-08-16,201,301,103,10,280,2801,588,FALSE,20:34,2024,8,Friday,20
1087,2023-04-16,203,301,104,9,497,4473,1118,FALSE,03:43,2023,4,Sunday,3
1088,2024-05-23,203,303,101,8,195,1558,467,FALSE,00:50,2024,5,Thursday,0
1089,2024-05-10,205,305,102,6,205,1229,184,FALSE,05:09,2024,5,Friday,5
1090,2023-02-15,201,305,102,4,109,434,74,FALSE,02:05,2023,2,Wednesday,2
1091,2023-02-20,204,301,105,9,145,1304,248,FALSE,04:50,2023,2,Monday,4
1092,2023-11-01,201,303,105,4,362,1447,304,FALSE,18:02,2023,11,Wednesday,18
1093,2024-04-12,205,304,105,9,604,5435,1359,FALSE,04:27,2024,4,Friday,4
1094,2023-08-30,204,301,104,10,141,1407,422,TRUE,03:31,2023,8,Wednesday,3
1095,2023-06-28,203,305,102,5,600,3001,450,FALSE,15:47,2023,6,Wednesday,15
1096,2023-03-21,204,304,104,7,573,4014,682,FALSE,12:21,2023,3,Tuesday,12
1097,2022-12-29,205,305,102,1,204,204,39,FALSE,20:13,2022,12,Thursday,20
1098,2022-12-27,203,305,103,4,97,387,81,FALSE,21:45,2022,12,Tuesday,21
1099,2024-03-14,204,302,101,3,346,1038,260,TRUE,01:48,2024,3,Thursday,1
1100,2023-02-28,204,304,102,2,374,749,225,FALSE,06:42,2023,2,Tuesday,6
1101,2023-05-04,201,304,101,5,99,497,74,FALSE,02:10,2023,5,Thursday,2
1102,2023-07-14,203,305,104,9,525,4727,804,TRUE,03:00,2023,7,Friday,3
1103,2022-11-29,204,303,102,7,112,784,149,FALSE,05:54,2022,11,Tuesday,5
1104,2023-01-21,202,302,105,1,482,482,101,FALSE,21:12,2023,1,Saturday,21
1105,2023-10-03,202,304,105,8,213,1701,425,TRUE,09:23,2023,10,Tuesday,9
1106,2024-02-17,204,304,102,3,427,1281,384,TRUE,03:31,2024,2,Saturday,3
1107,2023-04-16,205,305,102,9,582,5242,786,FALSE,10:45,2023,4,Sunday,10
1108,2023-01-04,201,301,103,3,226,677,115,FALSE,02:57,2023,1,Wednesday,2
1109,2024-10-22,203,305,105,1,212,212,40,FALSE,09:53,2024,10,Tuesday,9
1110,2024-04-28,201,301,103,2,246,491,103,FALSE,11:44,2024,4,Sunday,11
1111,2024-02-02,201,305,104,1,189,189,47,FALSE,15:43,2024,2,Friday,15
1112,2023-02-21,205,302,102,2,312,625,187,FALSE,18:25,2023,2,Tuesday,18
1113,2023-09-06,203,305,102,8,259,2072,311,TRUE,11:48,2023,9,Wednesday,11
1114,2023-05-24,201,302,105,5,233,1164,198,FALSE,13:55,2023,5,Wednesday,13
1115,2024-02-02,203,305,105,9,375,3376,641,FALSE,16:33,2024,2,Friday,16
